,0,1,2
0,1521482521422307330,2022-05-03 13:31:15+00:00,"Putin’s ‘radical’ supporters wanted Zelenskyy and Boris Johnson killed, says TV host https://t.co/H3nR83w61z"
1,1521482503445524480,2022-05-03 13:31:11+00:00,@AnushkaAsthana @susannareid100 Unfortunately  help for the most vulnerable is negligible.  I don't think Boris Joh… https://t.co/kzhHWVWJJ1
2,1521482459489214464,2022-05-03 13:31:00+00:00,Boris Johnson defends cost of living response amid calls for more - BBC News https://t.co/OWS0vcXVN5
3,1521482458008588288,2022-05-03 13:31:00+00:00,"Boris Johnson handed lifeline as Tories 'may hold on in more places' at local elections

https://t.co/CLYV7bcyRY"
4,1521482429223030784,2022-05-03 13:30:53+00:00,@AndyJHodges But it's the indefinite article with a person's name I'm wondering about. The adjective is fine. The '… https://t.co/4Du9OwIQBI
5,1521482422960930819,2022-05-03 13:30:52+00:00,"Boris Johnson quotes Churchill hails Ukraine’s ‘finest hour’, promises more military aid to fight Russia invasion  https://t.co/U0XkYqNuBf"
6,1521482415683911684,2022-05-03 13:30:50+00:00,@davidwhite020 Can you remind Boris Johnson of that as I think he needs to be reminded of a lot of things Boris Johnson out
7,1521482407576231942,2022-05-03 13:30:48+00:00,One thing I took away from watching Boris Johnson's interview with Susanna Reid is that he is better at trying to b… https://t.co/13rozkUNtj
8,1521482386969612290,2022-05-03 13:30:43+00:00,@GNev2 Remember also Keir Starmer is owned and controlled by the same cabal as Boris Johnson  so don't expect any d… https://t.co/rbGNiaJhTc
9,1521482386965422088,2022-05-03 13:30:43+00:00,BREAKING: UK Prime Minister Boris Johnson has told Ukraine's parliament that 'Ukraine will win' and 'will be free'
10,1521482343701262336,2022-05-03 13:30:33+00:00,"@Keir_Starmer
@UKLabour
@BorisJohnson
@Conservatives
Starmer scores OWN goal as Labour whinging backfires over Bori… https://t.co/oylpxp4CDU"
11,1521482341390209025,2022-05-03 13:30:32+00:00,"@lesiavasylenko @PickardJE And Boris Johnson was certainly lucky, and glad, Russia invaded Ukraine when they did.
A… https://t.co/43GPn7de5U"
12,1521482327993552898,2022-05-03 13:30:29+00:00,Boris Johnson: Ukraine will win war and 'be free' https://t.co/74Mb2xwCKK
13,1521482312642449408,2022-05-03 13:30:25+00:00,"“We’re doing everything we can… But we can do more.”
https://t.co/XkgSOwhDE5"
14,1521482308058062848,2022-05-03 13:30:24+00:00,"UK National News 

Prime Minister Boris Johnson has admitted to ITV that his government could do more to help strug… https://t.co/rQ9Hu6m3wC"
15,1521482302882201600,2022-05-03 13:30:23+00:00,"Watch ""Watch PM Boris Johnson address Zelenskyy's Ukraine Parliament"" on YouTube https://t.co/4WM4Hrlkz4"
16,1521482269638250498,2022-05-03 13:30:15+00:00,"'Property Notify' News, brought to you by PROTECT Commercial Insurance &gt;&gt;

Boris Johnson is Considering Re-Introduc… https://t.co/Ley2JBFCcf"
17,1521482232845721600,2022-05-03 13:30:06+00:00,"Seems to me that in addressing the #Ukrainian parliament.
Boris Johnson spent the entire time beating his own chest… https://t.co/MYOJJvXker"
18,1521482161743966214,2022-05-03 13:29:49+00:00,"#Ukraine will win war and 'be free', #BorisJohnson tells #Kyivparliament https://t.co/ogR2lN6q8g"
19,1521482139979636736,2022-05-03 13:29:44+00:00,"@Eddystone506 °

     ▪

""You're a nasty piece of work Boris Johnson"" says @eddiemair 

      •

#BogOrfBoris 

        ○"
20,1521482136368422916,2022-05-03 13:29:43+00:00,@itvnews Boris Johnson taking notes…
21,1521482114734116866,2022-05-03 13:29:38+00:00,Boris Johnson pondering right to buy for housing association tenants https://t.co/em0ebDNAQ9
22,1521482099886333955,2022-05-03 13:29:35+00:00,"Superb, to the point. “Boris” Let Them Eat Cake Johnson. Remember Marie Antoinette Johnson! https://t.co/mYFwLvaMRP"
23,1521482096874856448,2022-05-03 13:29:34+00:00,Boris Johnson taking notes https://t.co/KezSj54pCf
24,1521482088511426560,2022-05-03 13:29:32+00:00,He thanked the leader of the United Kingdom Boris Johnson and all the people of the United Kingdom. For the words w… https://t.co/Si4DHvelBV
25,1521482082165436418,2022-05-03 13:29:30+00:00,Cost of living: Boris Johnson criticised for 'out of touch' response to pensioner riding bus to keep warm https://t.co/gDv18eqtoJ
26,1521482074452070400,2022-05-03 13:29:28+00:00,Boris Johnson nailing how I feel when I eat chicken from KFC and Nando’s  https://t.co/4dYn9kMDZD
27,1521482037428957188,2022-05-03 13:29:20+00:00,Boris Johnson Calls Russia War ‘Ukraine’s Finest Hour’ https://t.co/32v4Xc8jmt
28,1521482011415920641,2022-05-03 13:29:13+00:00,"@PippaCrerar @GMB #FreedomPass - born 1973 in the @LondonLabour GLC!
... did someone say #LiarJohnson?… https://t.co/rjpordrAH7"
29,1521481948841058307,2022-05-03 13:28:59+00:00,Speech by British Prime Minister Boris Johnson in the Verkhovna Rada of Ukraine. https://t.co/UlnYUQWVW4
