,0,1
0,1532181230464253952,
1,1532180698060279808,
2,1532180540429897728,
3,1532180347349262336,
4,1532180214435946497,
5,1532180016750116864,
6,1532179335393726464,
7,1532179099258699776,
8,1532178494507163648,
9,1532178291058155521,
10,1532178256731987974,
11,1532177658775207942,
12,1532177527778816000,
13,1532177452335783936,
14,1532176775882625027,
15,1532176232460304384,
16,1532176160502710273,
17,1532176042634653696,
18,1532175759653076993,
19,1532175745262333952,
20,1532175732012630016,
21,1532175679642652672,
22,1532175592745013250,
23,1532175328885493760,
24,1532175328587792385,
25,1532175035045007361,
26,1532174829931077634,
27,1532174394520477696,
28,1532174210780602368,
29,1532174106199719937,
30,1532173948233863169,
31,1532173520779677696,
32,1532172505309487106,
33,1532171236570189825,
34,1532170904863707137,
35,1532170787582578691,
36,1532170526994714624,
37,1532170413303812101,
38,1532170402998456326,
39,1532170200711307266,
40,1532170193228775426,
41,1532169688599371776,
42,1532169620861472768,
43,1532169206183100416,
44,1532168995608092672,
45,1532167668844879872,
46,1532167470185840641,
47,1532167466146734080,
48,1532167343748415488,
49,1532167283002552322,
50,1532167014877470721,
51,1532166267980943360,
52,1532165987373568001,
53,1532165928724615170,
54,1532165836529704961,
55,1532165283191848961,
56,1532165123137208320,
57,1532165006070005761,
58,1532164913497575424,
59,1532164713966018560,
60,1532164393135374339,
61,1532164299283628033,
62,1532164010111651840,
63,1532164008505389056,
64,1532163381020332032,
65,1532163094583156736,"Place(_api=None, id='1db4f0a70fc5c9db', url='https://api.twitter.com/1.1/geo/id/1db4f0a70fc5c9db.json', place_type='city', name='Bath', full_name='Bath, England', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=None, type='Polygon', coordinates=[[[-2.4113744, 51.350545], [-2.322492, 51.350545], [-2.322492, 51.408754], [-2.4113744, 51.408754]]]), attributes={})"
66,1532162771059548160,
67,1532162586761957377,
68,1532162553283059712,
69,1532162474535014400,
70,1532162286227443715,
71,1532161767522058241,
72,1532161730494734336,
73,1532161630938726403,
74,1532161232865722368,
75,1532161145909526535,
76,1532160994474086401,
77,1532160940275388419,
78,1532160867739000832,
79,1532160701871038465,
80,1532160689959223300,
81,1532160425508356097,
82,1532160353882210304,
83,1532160291819094024,
84,1532160220226633728,
85,1532160113850589184,
86,1532159712795426817,
87,1532159155137654784,
88,1532158852090716161,
89,1532158710478422018,
90,1532158655667310593,
91,1532158370865635328,
92,1532158165332201472,"Place(_api=None, id='791e00bcadc4615f', url='https://api.twitter.com/1.1/geo/id/791e00bcadc4615f.json', place_type='city', name='Glasgow', full_name='Glasgow, Scotland', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=None, type='Polygon', coordinates=[[[-4.3932845, 55.796184], [-4.0902182, 55.796184], [-4.0902182, 55.9204214], [-4.3932845, 55.9204214]]]), attributes={})"
93,1532158054384513025,
94,1532158026408411137,
95,1532157209848717312,
96,1532157077505945600,
97,1532157051945816067,
98,1532157027694280704,
99,1532156337974648833,
